,undergrad,grad,counts,source,target,job
9,,MS in Cybersecurity,30,17,40,Cybersecurity Analyst
10,,MS in Data Analytics and Visualization,30,18,41,Data Analyst
11,,MS in Data Analytics and Visualization,30,18,42,Data Scientist
12,,MS in Data Analytics and Visualization,30,18,31,Product Manager
13,,MS in Data Analytics and Visualization,30,18,43,Start-up Founder
14,,MS in Digital Marketing and Media,30,19,44,Digital Marketing Manager
15,,MS in Digital Marketing and Media,30,19,45,Marketing Communications Manager
16,,MS in Digital Marketing and Media,30,19,46,Marketing Director
17,,MS in Digital Marketing and Media,30,19,47,Market Research Analyst
18,,MS in Digital Marketing and Media,30,19,48,Product Development Manager
19,,MS in Digital Marketing and Media,30,19,49,Public Relations Manager
20,,MS in Digital Marketing and Media,30,19,50,Senior Marketing Program Manager
21,,MS in Mathematics,30,20,51,Financial analyst
22,,MS in Mathematics,30,20,52,Investment Analyst
23,,MS in Mathematics,30,20,53,Mathematician
24,,MS in Mathematics,30,20,54,Quantitative Analyst
25,,MS in Mathematics,30,20,55,Statistician
26,,MS in Quantitative Economics,30,23,56,Econometrician
27,,MS in Quantitative Economics,30,23,57,Financial Analyst
28,,MS in Quantitative Economics,30,23,54,Quantitative Analyst
29,,MS in Quantitative Economics,30,23,58,Compliance Manager
30,,MS in Artificial Intelligence,30,15,59,Machine Learing Engineer
31,,MS in Artificial Intelligence,30,15,60,Artificial Intelligence Research
32,,MS in Artificial Intelligence,30,15,42,Data Scientist
33,,MS in Artificial Intelligence,30,15,61,Computer Vision Engineer
34,,MS in Speech-Language Pathology,30,24,62,Speech Pathologist
35,,MS in Speech-Language Pathology,30,24,63,Pediatric Speech Pathologist
36,,MS in Speech-Language Pathology,30,24,64,Professor
37,,MS in Physics,30,22,65,Astronomer
38,,MS in Physics,30,22,66,Physicists
39,,MS in Physics,30,22,67,Aerospace Engineer
40,,MS in Physics,30,22,68,Biochemists and Biophysicists
41,,MS in Physics,30,22,69,Physics Teachers
42,,MS in Occupational Therapy,30,21,70,Occupational Therapist
43,,MS in Occupational Therapy,30,21,71,Clinic Director
44,,MS in Occupational Therapy,30,21,72,Health Specialties College Instructor
45,,MS in Occupational Therapy,30,21,73,Rehabilitation Manager
46,,MS in Occupational Therapy,30,21,74,Pediatric Occupational Therapist
